CountryCode,Year,OlympicsSeason,TotalParticipants,GoldMedals,SilverMedals,BronzeMedals,TotalMedals,Win%,GDPPerCapita,PopulationSize,HostCity,PrevTotalParticipants,PrevGoldMedals,PrevSilverMedals,PrevBronzeMedals,PrevTotalMedals,PrevWinterTotalParticipants,PrevWinterGoldMedals,PrevWinterSilverMedals,PrevWinterBronzeMedals,PrevWinterTotalMedals
AUS,1896,1,5,2,0,1,3,60.0,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
AUT,1896,1,8,2,1,2,5,62.5,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
DEN,1896,1,15,1,2,3,6,40.0,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
FRA,1896,1,26,5,4,2,11,42.31,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
GBR,1896,1,25,3,3,3,9,36.0,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
GER,1896,1,94,25,5,2,32,34.04,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
GRE,1896,1,148,10,18,20,48,32.43,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
HUN,1896,1,18,2,1,3,6,33.33,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
ITA,1896,1,1,0,0,0,0,0.0,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
SUI,1896,1,8,1,2,0,3,37.5,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
SWE,1896,1,5,0,0,0,0,0.0,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
USA,1896,1,27,11,7,2,20,74.07,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
ARG,1900,2,1,0,0,0,0,0.0,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
AUS,1900,2,6,3,0,3,6,100.0,921.7913271139662,4164800.0,0.0,5,2,0,1,3,0,0,0,0,0
AUT,1900,2,26,0,3,3,6,23.08,921.7913271139662,4164800.0,0.0,8,2,1,2,5,0,0,0,0,0
BEL,1900,2,100,6,24,13,43,43.0,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
BOH,1900,2,9,0,1,2,3,33.33,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
BRA,1900,2,3,0,0,0,0,0.0,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
CAN,1900,2,7,1,0,1,2,28.57,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
COL,1900,2,1,0,1,0,1,100.0,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
CUB,1900,2,2,1,1,0,2,100.0,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
DEN,1900,2,36,4,3,2,9,25.0,921.7913271139662,4164800.0,0.0,15,1,2,3,6,0,0,0,0,0
ESP,1900,2,12,2,0,0,2,16.67,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
FRA,1900,2,1071,52,101,82,235,21.94,921.7913271139662,4164800.0,0.0,26,5,4,2,11,0,0,0,0,0
GBR,1900,2,146,59,34,15,108,73.97,921.7913271139662,4164800.0,0.0,25,3,3,3,9,0,0,0,0,0
GER,1900,2,103,14,20,11,45,43.69,921.7913271139662,4164800.0,0.0,94,25,5,2,32,0,0,0,0,0
GRE,1900,2,4,0,0,0,0,0.0,921.7913271139662,4164800.0,0.0,148,10,18,20,48,0,0,0,0,0
HAI,1900,2,4,1,0,0,1,25.0,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
HUN,1900,2,34,1,2,2,5,14.71,921.7913271139662,4164800.0,0.0,18,2,1,3,6,0,0,0,0,0
IND,1900,2,5,0,2,0,2,40.0,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
IRI,1900,2,1,0,0,0,0,0.0,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
ITA,1900,2,36,3,2,0,5,13.89,921.7913271139662,4164800.0,0.0,1,0,0,0,0,0,0,0,0,0
LUX,1900,2,1,1,0,0,1,100.0,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
MEX,1900,2,3,0,0,3,3,100.0,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
NED,1900,2,73,3,8,16,27,36.99,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
NOR,1900,2,29,0,6,3,9,31.03,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
NZL,1900,2,1,1,0,0,1,100.0,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
PER,1900,2,2,0,0,0,0,0.0,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
ROU,1900,2,1,0,0,0,0,0.0,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
RUS,1900,2,5,0,0,0,0,0.0,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
SUI,1900,2,52,16,4,1,21,40.38,921.7913271139662,4164800.0,0.0,8,1,2,0,3,0,0,0,0,0
SWE,1900,2,27,3,0,1,4,14.81,921.7913271139662,4164800.0,0.0,5,0,0,0,0,0,0,0,0,0
USA,1900,2,135,30,16,17,63,46.67,921.7913271139662,4164800.0,0.0,27,11,7,2,20,0,0,0,0,0
AUS,1904,3,6,0,3,1,4,66.67,921.7913271139662,4164800.0,0.0,6,3,0,3,6,0,0,0,0,0
AUT,1904,3,7,2,1,1,4,57.14,921.7913271139662,4164800.0,0.0,26,0,3,3,6,0,0,0,0,0
CAN,1904,3,61,27,9,12,48,78.69,921.7913271139662,4164800.0,0.0,7,1,0,1,2,0,0,0,0,0
CUB,1904,3,6,5,0,0,5,83.33,921.7913271139662,4164800.0,0.0,2,1,1,0,2,0,0,0,0,0
FRA,1904,3,2,0,2,0,2,100.0,921.7913271139662,4164800.0,0.0,1071,52,101,82,235,0,0,0,0,0
GBR,1904,3,6,1,1,0,2,33.33,921.7913271139662,4164800.0,0.0,146,59,34,15,108,0,0,0,0,0
GER,1904,3,55,4,5,7,16,29.09,921.7913271139662,4164800.0,0.0,103,14,20,11,45,0,0,0,0,0
GRE,1904,3,17,1,0,1,2,11.76,921.7913271139662,4164800.0,0.0,4,0,0,0,0,0,0,0,0,0
HUN,1904,3,9,2,1,1,4,44.44,921.7913271139662,4164800.0,0.0,34,1,2,2,5,0,0,0,0,0
ITA,1904,3,1,0,0,0,0,0.0,921.7913271139662,4164800.0,0.0,36,3,2,0,5,0,0,0,0,0
NFL,1904,3,1,0,0,0,0,0.0,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
NOR,1904,3,6,2,0,0,2,33.33,921.7913271139662,4164800.0,0.0,29,0,6,3,9,0,0,0,0,0
RSA,1904,3,8,0,0,0,0,0.0,921.7913271139662,4164800.0,0.0,0,0,0,0,0,0,0,0,0,0
SUI,1904,3,7,1,0,2,3,42.86,921.7913271139662,4164800.0,0.0,52,16,4,1,21,0,0,0,0,0
USA,1904,3,1109,128,141,125,394,35.53,921.7913271139662,4164800.0,0.0,135,30,16,17,63,0,0,0,0,0
AUS,1906,3,10,0,0,3,3,30.0,921.7913271139662,4164800.0,0.0,6,3,0,3,6,0,0,0,0,0
AUT,1906,3,100,3,3,3,9,9.0,921.7913271139662,4164800.0,0.0,26,0,3,3,6,0,0,0,0,0
BEL,1906,3,31,2,3,6,11,35.48,921.7913271139662,4164800.0,0.0,100,6,24,13,43,0,0,0,0,0
BOH,1906,3,29,0,0,3,3,10.34,921.7913271139662,4164800.0,0.0,9,0,1,2,3,0,0,0,0,0
