CountryCode,Year,OlympicsSeason,TotalParticipants,GoldMedals,SilverMedals,BronzeMedals,TotalMedals,Win%,GDPPerCapita,PopulationSize,HostCity,PrevTotalParticipants,PrevGoldMedals,PrevSilverMedals,PrevBronzeMedals,PrevTotalMedals,PrevSummerTotalParticipants,PrevSummerGoldMedals,PrevSummerSilverMedals,PrevSummerBronzeMedals,PrevSummerTotalMedals
AUS,1924,8,1,1,0,0,1,100.0,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,60,3,5,2,10
AUT,1924,8,4,3,1,0,4,100.0,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,56,0,3,1,4
BEL,1924,8,32,0,0,5,5,15.62,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,234,3,30,6,39
CAN,1924,8,17,9,0,0,9,52.94,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,83,0,19,1,20
CZE,1924,8,31,0,0,0,0,0.0,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,242,1,4,5,10
FIN,1924,8,33,4,8,3,15,45.45,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,253,24,13,15,52
FRA,1924,8,68,0,0,10,10,14.71,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,636,37,51,22,110
GBR,1924,8,50,16,4,11,31,62.0,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,428,15,30,19,64
HUN,1924,8,6,0,0,0,0,0.0,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,140,2,12,8,22
IND,1924,8,7,7,0,0,7,100.0,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,24,0,0,0,0
ITA,1924,8,24,0,0,0,0,0.0,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,333,25,5,21,51
LAT,1924,8,7,0,0,0,0,0.0,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,47,0,0,0,0
NEP,1924,8,1,1,0,0,1,100.0,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,0,0,0,0,0
NOR,1924,8,36,4,7,6,17,47.22,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,105,14,5,3,22
POL,1924,8,15,0,0,0,0,0.0,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,100,0,4,1,5
SRB,1924,8,7,0,0,0,0,0.0,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,116,2,0,0,2
SUI,1924,8,39,8,0,1,9,23.08,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,262,14,25,21,60
SWE,1924,8,41,1,8,0,9,21.95,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,256,7,22,43,72
USA,1924,8,41,1,10,1,12,29.27,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,459,97,36,49,182
ARG,1928,9,10,0,0,0,0,0.0,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,98,3,18,5,26
AUT,1928,9,49,0,4,2,6,12.24,3844.9511501840416,7576531.0,0.0,4,3,1,0,4,113,3,0,2,5
BEL,1928,9,26,0,0,1,1,3.85,3844.9511501840416,7576531.0,0.0,32,0,0,5,5,260,0,1,4,5
CAN,1928,9,31,12,0,0,12,38.71,3844.9511501840416,7576531.0,0.0,17,9,0,0,9,113,7,5,21,33
CZE,1928,9,28,0,0,1,1,3.57,3844.9511501840416,7576531.0,0.0,31,0,0,0,0,147,2,12,2,16
EST,1928,9,6,0,0,0,0,0.0,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,23,2,1,6,9
FIN,1928,9,27,2,1,1,4,14.81,3844.9511501840416,7576531.0,0.0,33,4,8,3,15,132,8,8,9,25
FRA,1928,9,47,2,0,0,2,4.26,3844.9511501840416,7576531.0,0.0,68,0,0,10,10,422,12,24,14,50
GBR,1928,9,39,0,0,1,1,2.56,3844.9511501840416,7576531.0,0.0,50,16,4,11,31,354,7,27,24,58
GER,1928,9,51,0,0,5,5,9.8,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,399,21,15,41,77
HUN,1928,9,16,0,0,0,0,0.0,3844.9511501840416,7576531.0,0.0,6,0,0,0,0,219,10,11,0,21
ITA,1928,9,16,0,0,0,0,0.0,3844.9511501840416,7576531.0,0.0,24,0,0,0,0,273,24,22,26,72
JPN,1928,9,10,0,0,0,0,0.0,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,56,2,6,1,9
LAT,1928,9,3,0,0,0,0,0.0,3844.9511501840416,7576531.0,0.0,7,0,0,0,0,24,0,0,0,0
LTU,1928,9,4,0,0,0,0,0.0,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,13,0,0,0,0
LUX,1928,9,5,0,0,0,0,0.0,3844.9511501840416,7576531.0,0.0,0,0,0,0,0,107,1,0,0,1
