CountryCode,Year,OlympicsSeason,TotalParticipants,GoldMedals,SilverMedals,BronzeMedals,TotalMedals,Win%,GDPPerCapita,PopulationSize,HostCity,PrevTotalParticipants,PrevGoldMedals,PrevSilverMedals,PrevBronzeMedals,PrevTotalMedals,PrevWinterTotalParticipants,PrevWinterGoldMedals,PrevWinterSilverMedals,PrevWinterBronzeMedals,PrevWinterTotalMedals
AFG,2016,,3,,,,,,441.99282924922363,30597333.705762148,0,3,0,0,0,0,0,0,0,0,0
ALB,2016,,6,,,,,,4233.624277116411,3161246.3690476194,0,6,0,0,0,0,2,0,0,0,0
ALG,2016,,74,,,,,,4732.23707273652,42012934.58147907,0,74,0,2,0,2,0,0,0,0,0
AND,2016,,4,,,,,,46835.228887637844,93663.45631067967,0,4,0,0,0,0,12,0,0,0,0
ANG,2016,,26,,,,,,4361.343566485826,28862178.483870745,0,26,0,0,0,0,0,0,0,0,0
ANT,2016,,9,,,,,,16649.06445078377,101426.63636363647,0,9,0,0,0,0,0,0,0,0,0
ARG,2016,,232,,,,,,8598.02175630373,44035564.80159676,0,232,21,1,0,22,20,0,0,0,0
ARM,2016,,34,,,,,,5021.156778929464,2804990.333333332,0,34,1,3,0,4,6,0,0,0,0
ARU,2016,,7,,,,,,30535.09146726667,117799.17857142864,0,7,0,0,0,0,0,0,0,0,0
ASA,2016,,4,,,,,,14487.344684352749,60460.2857142858,0,4,0,0,0,0,0,0,0,0,0
AUS,2016,,518,,,,,,33276.61067398172,21915665.399945736,0,518,23,34,25,82,84,0,2,1,3
AUT,2016,,85,,,,,,33120.00601480121,8931463.599035189,0,85,0,0,2,2,213,4,12,11,27
AZE,2016,,69,,,,,,7417.908385976218,10076075.199999988,0,69,1,7,10,18,4,0,0,0,0
BAN,2016,,7,,,,,,1130.7436635752238,175091734.77777767,0,7,0,0,0,0,0,0,0,0,0
BAR,2016,,13,,,,,,18892.74273516494,289321.51620706334,0,13,0,0,0,0,0,0,0,0,0
