Country,True Value,Predicted Value
AFG,0,3
ALB,0,3
ALG,2,4
AND,0,3
ANG,0,3
ANT,0,3
ARG,22,22
ARM,4,3
ARU,0,3
ASA,0,3
AUS,82,75
AUT,2,3
AZE,18,5
BAN,0,3
BAR,0,3
BDI,1,3
BEL,21,7
BEN,0,3
BHU,0,3
BIH,0,3
BIZ,0,3
BLR,12,10
BOH,0,8
BOL,0,3
BOT,0,3
BRA,50,86
BRN,2,3
BRU,0,3
BUL,7,3
BUR,0,3
CAF,0,3
CAM,0,3
CAN,69,46
CAY,0,3
CGO,0,3
CHA,0,3
CHI,0,3
CHN,113,85
CIV,2,3
CMR,0,3
COD,0,3
COL,8,11
COM,0,3
CPV,0,3
CRC,0,3
CRO,24,12
CUB,11,11
CYP,0,3
CZE,15,9
DEN,41,10
DJI,0,3
DMA,0,3
DOM,1,3
ECU,0,3
EGY,3,7
ESA,0,3
ESP,45,44
EST,4,3
ETH,8,3
FIJ,13,3
FIN,1,3
FRA,96,73
FSM,0,3
GAB,0,3
GAM,0,3
GBR,145,69
GBS,0,3
GEO,7,3
GEQ,0,3
GER,159,78
GHA,0,3
GRE,7,5
GRN,1,3
GUA,0,3
GUI,0,3
GUM,0,3
GUY,0,3
HAI,0,3
HKG,0,3
HON,0,3
HUN,22,20
INA,4,3
IND,2,8
IRI,8,5
IRL,3,9
IRQ,0,3
ISL,0,3
ISR,2,3
ISV,0,3
ITA,72,51
IVB,0,3
JAM,30,9
JOR,1,3
JPN,64,57
KAZ,18,8
KEN,13,8
KGZ,0,3
KIR,0,3
KOR,26,33
KSA,0,3
KUW,1,3
LAO,0,3
LAT,0,3
LBA,0,3
LBR,0,3
LCA,0,3
LES,0,3
LIB,0,3
LIE,0,3
LTU,7,5
LUX,0,3
MAD,0,3
MAR,1,3
MAS,8,3
MAW,0,3
MDA,0,3
MDV,0,3
MEX,5,14
MGL,2,3
MKD,0,3
MLI,0,3
MLT,0,3
MON,0,3
MOZ,0,3
MRI,0,3
MTN,0,3
MYA,0,3
NAM,0,3
NCA,0,3
NED,47,51
NEP,0,3
NGR,18,3
NIG,1,3
NOR,19,7
NRU,0,3
NZL,36,24
OMA,0,3
PAK,0,3
PAN,0,3
PAR,0,3
PER,0,3
PHI,1,3
PLE,0,3
PLW,0,3
PNG,0,3
POL,16,23
POR,1,8
PRK,7,3
PUR,1,3
QAT,1,3
ROU,16,7
RSA,23,11
RUS,115,70
RWA,0,3
SAM,0,3
SEN,0,3
SEY,0,3
SKN,0,3
SLE,0,3
SLO,4,3
SMR,0,3
SOL,0,3
SOM,0,3
SRB,54,9
SRI,0,3
STP,0,3
SUD,0,3
SUI,11,10
SUR,0,3
SVK,8,3
SWE,28,15
SWZ,0,3
SYR,0,3
TAN,0,3
TGA,0,3
THA,6,3
TJK,1,3
TKM,0,3
TLS,0,3
TOG,0,3
TRI,1,3
TUN,3,3
TUR,8,8
UAE,1,3
UGA,0,3
UKR,15,24
URU,0,3
USA,264,166
UZB,13,5
VAN,0,3
VEN,3,8
VIE,2,3
VIN,0,3
YEM,0,3
ZAM,0,3
ZIM,0,3
