Country,Year,True Value,Predicted Value
AFG,2016,0,0
ALB,2016,0,0
ALG,2016,2,2
AND,2016,0,0
ANG,2016,0,0
ANT,2016,0,0
ARG,2016,22,25
ARM,2016,4,4
ARU,2016,0,0
ASA,2016,0,0
AUS,2016,82,98
AUT,2016,2,3
AZE,2016,18,15
BAN,2016,0,0
BAR,2016,0,0
BDI,2016,1,1
BEL,2016,21,15
BEN,2016,0,0
BHU,2016,0,0
BIH,2016,0,0
BIZ,2016,0,0
BLR,2016,12,14
BOH,1912,0,2
BOL,2016,0,0
BOT,2016,0,0
BRA,2016,50,55
BRN,2016,2,1
BRU,2016,0,0
BUL,2016,7,5
BUR,2016,0,0
CAF,2016,0,0
CAM,2016,0,0
CAN,2016,69,56
CAY,2016,0,0
CGO,2016,0,0
CHA,2016,0,0
CHI,2016,0,1
CHN,2016,113,101
CIV,2016,2,1
CMR,2016,0,0
COD,2016,0,0
COL,2016,8,7
COM,2016,0,0
CPV,2016,0,0
CRC,2016,0,0
CRO,2016,24,22
CUB,2016,11,17
CYP,2016,0,0
CZE,2016,15,13
DEN,2016,41,31
DJI,2016,0,0
DMA,2016,0,0
DOM,2016,1,1
ECU,2016,0,0
EGY,2016,3,3
ESA,2016,0,0
ESP,2016,45,44
EST,2016,4,4
ETH,2016,8,8
FIJ,2016,13,9
FIN,2016,1,6
FRA,2016,96,97
FSM,2016,0,0
GAB,2016,0,0
GAM,2016,0,0
GBR,2016,145,122
GBS,2016,0,0
GEO,2016,7,7
GEQ,2016,0,0
GER,2016,159,129
GHA,2016,0,0
GRE,2016,7,6
GRN,2016,1,1
GUA,2016,0,0
GUI,2016,0,0
GUM,2016,0,0
GUY,2016,0,0
HAI,2016,0,0
HKG,2016,0,0
HON,2016,0,0
HUN,2016,22,24
INA,2016,4,4
IND,2016,2,4
IRI,2016,8,8
IRL,2016,3,3
IRQ,2016,0,0
ISL,2016,0,3
ISR,2016,2,1
ISV,2016,0,0
ITA,2016,72,72
IVB,2016,0,0
JAM,2016,30,25
JOR,2016,1,1
JPN,2016,64,57
KAZ,2016,18,15
KEN,2016,13,12
KGZ,2016,0,0
KIR,2016,0,0
KOR,2016,26,31
KSA,2016,0,1
KUW,2012,1,1
LAO,2016,0,0
LAT,2016,0,1
LBA,2016,0,0
LBR,2016,0,0
LCA,2016,0,0
LES,2016,0,0
LIB,2016,0,0
LIE,2016,0,0
LTU,2016,7,6
LUX,2016,0,0
MAD,2016,0,0
MAR,2016,1,1
MAS,2016,8,6
MAW,2016,0,0
MDA,2016,0,1
MDV,2016,0,0
MEX,2016,5,8
MGL,2016,2,3
MKD,2016,0,0
MLI,2016,0,0
MLT,2016,0,0
MON,2016,0,0
MOZ,2016,0,0
MRI,2016,0,0
MTN,2016,0,0
MYA,2016,0,0
NAM,2016,0,0
NCA,2016,0,0
NED,2016,47,48
NEP,2016,0,0
NGR,2016,18,15
NIG,2016,1,1
NOR,2016,19,20
NRU,2016,0,0
NZL,2016,36,29
OMA,2016,0,0
PAK,2016,0,0
PAN,2016,0,0
PAR,2016,0,1
PER,2016,0,0
PHI,2016,1,1
PLE,2016,0,0
PLW,2016,0,0
PNG,2016,0,0
POL,2016,16,21
POR,2016,1,1
PRK,2016,7,7
PUR,2016,1,1
QAT,2016,1,1
ROU,2016,16,20
RSA,2016,23,17
RUS,2016,115,112
RWA,2016,0,0
SAM,2016,0,0
SEN,2016,0,0
SEY,2016,0,0
SKN,2016,0,0
SLE,2016,0,0
SLO,2016,4,4
SMR,2016,0,0
SOL,2016,0,0
SOM,2016,0,0
SRB,2016,54,40
SRI,2016,0,0
STP,2016,0,0
SUD,2016,0,0
SUI,2016,11,12
SUR,2016,0,0
SVK,2016,8,7
SWE,2016,28,24
SWZ,2016,0,0
SYR,2016,0,0
TAN,2016,0,0
TGA,2016,0,0
THA,2016,6,5
TJK,2016,1,1
TKM,2016,0,0
TLS,2016,0,0
TOG,2016,0,0
TRI,2016,1,3
TUN,2016,3,3
TUR,2016,8,7
UAE,2016,1,1
UGA,2016,0,0
UKR,2016,15,21
URU,2016,0,0
USA,2016,264,263
UZB,2016,13,10
VAN,2016,0,0
VEN,2016,3,2
VIE,2016,2,1
VIN,2016,0,0
YEM,2016,0,0
ZAM,2016,0,0
ZIM,2016,0,1
