Country,Predicted Medals
AFG,1
ALB,0
ALG,1
AND,0
ANG,0
ANT,0
ARG,33
ARM,4
ARU,0
ASA,0
AUS,115
AUT,3
AZE,14
BAN,0
BAR,0
BDI,1
BEL,13
BEN,0
BHU,0
BIH,0
BIZ,0
BLR,22
BOL,0
BOT,0
BRA,63
BRN,1
BRU,0
BUL,25
BUR,0
CAF,0
CAM,0
CAN,39
CAY,0
CGO,0
CHA,0
CHI,1
CHN,115
CIV,1
CMR,0
COD,0
COL,6
COM,0
CPV,0
CRC,0
CRO,22
CUB,20
CYP,0
CZE,33
DEN,23
DJI,0
DMA,0
DOM,1
ECU,0
EGY,2
ESA,0
ESP,58
EST,4
ETH,6
FIJ,4
FIN,4
FRA,68
FSM,0
GAB,0
GAM,0
GBR,96
GBS,0
GEO,6
GEQ,0
GER,126
GHA,0
GRE,5
GRN,1
GUA,0
GUI,0
GUM,0
GUY,0
HAI,0
HKG,1
HON,0
HUN,27
INA,4
IND,3
IRI,7
IRL,3
IRQ,0
ISL,1
ISR,1
ISV,0
ITA,58
IVB,0
JAM,20
JOR,0
JPN,66
KAZ,14
KEN,8
KGZ,0
KIR,0
KOR,57
KSA,1
LAO,0
LAT,3
LBA,0
LBR,0
LCA,0
LES,0
LIB,1
LIE,0
LTU,8
LUX,0
MAD,0
MAR,1
MAS,6
MAW,0
MDA,1
MDV,0
MEX,6
MGL,3
MKD,0
MLI,0
MLT,0
MON,0
MOZ,0
MRI,0
MTN,0
MYA,0
NAM,0
NCA,0
NED,71
NEP,0
NGR,18
NIG,0
NOR,18
NRU,0
NZL,19
OMA,0
PAK,0
PAN,0
PAR,1
PER,0
PHI,0
PLE,0
PLW,0
PNG,0
POL,38
POR,2
PRK,6
PUR,1
QAT,1
ROU,30
RSA,9
RUS,178
RWA,0
SAM,0
SEN,0
SEY,0
SKN,0
SLE,0
SLO,5
SMR,0
SOL,0
SOM,0
SRB,39
SRI,0
STP,0
SUD,0
SUI,6
SUR,0
SVK,6
SWE,23
SWZ,0
SYR,0
TAN,0
TGA,0
THA,4
TJK,1
TKM,0
TLS,0
TOG,0
TRI,4
TUN,2
TUR,7
UAE,1
UGA,0
UKR,24
URU,0
USA,258
UZB,8
VAN,0
VEN,2
VIE,1
VIN,0
YEM,0
ZAM,0
ZIM,0
